category_fr,category_en,item_name_fr,item_name_en,description_fr,description_en,base_price_cad,price_seul,price_trio_or_combo,options_and_modifiers
Nos Wraps & Kebabs,Wraps & Kebabs,Kebab au Poulet,Chicken Kebab Wrap,"Kebab de poulet assaisonné et grillé, servi avec salade et sauce au choix",Seasoned grilled chicken kebab served with salad and choice of sauce,8.95,8.95 (Kebab) | 9.95 (Tortilla) | 10.95 (Naan),14.25 (Kebab) | 15.25 (Tortilla) | 16.25 (Naan),"Choix de Pain: Pain Kebab ($8.95), Tortilla (+$1.00), Naan (+$2.00); Format: Seul vs Trio (+$5.30); Choix accompagnement Trio: Frites ou Patates a l'ail; Sauces: Mayo, Ketchup, Moutarde, Harissa, Maison, Verte, Sauce a l'ail, Thai; Extras: Extra Oeuf (+0.99$), Extra Cheddar (+0.99$)"
Nos Wraps & Kebabs,Wraps & Kebabs,Kebab a la Dinde et Boeuf,Turkey & Beef Kebab Wrap,Melange savoureux de dinde et boeuf emince et grille,Savory blend of shaved seasoned turkey and beef,8.95,8.95 (Kebab) | 9.95 (Tortilla) | 10.95 (Naan),14.25 (Kebab) | 15.25 (Tortilla) | 16.25 (Naan),"Choix de Pain: Pain Kebab ($8.95), Tortilla (+$1.00), Naan (+$2.00); Format: Seul vs Trio (+$5.30); Choix accompagnement Trio: Frites ou Patates a l'ail; Sauces: Mayo, Ketchup, Moutarde, Harissa, Maison, Verte, Sauce a l'ail, Thai; Extras: Extra Oeuf (+0.99$), Extra Cheddar (+0.99$)"
Nos Wraps & Kebabs,Wraps & Kebabs,Wrap au Poulet Tikka,Chicken Tikka Wrap,Morceaux de poulet marine aux epices tandoori rouges et grille,Chicken chunks marinated in red tandoori spices and grilled,8.95,8.95 (Kebab) | 9.95 (Tortilla) | 10.95 (Naan),14.25 (Kebab) | 15.25 (Tortilla) | 16.25 (Naan),"Choix de Pain: Pain Kebab ($8.95), Tortilla (+$1.00), Naan (+$2.00); Format: Seul vs Trio (+$5.30); Choix accompagnement Trio: Frites ou Patates a l'ail; Sauces: Mayo, Ketchup, Moutarde, Harissa, Maison, Verte, Sauce a l'ail, Thai; Extras: Extra Oeuf (+0.99$), Extra Cheddar (+0.99$)"
Nos Wraps & Kebabs,Wraps & Kebabs,Wrap au Poulet Masala,Chicken Masala Wrap,Poulet marine dans un melange d'epices masala traditionnelles,Chicken marinated in traditional aromatic masala spices,8.95,8.95 (Kebab) | 9.95 (Tortilla) | 10.95 (Naan),14.25 (Kebab) | 15.25 (Tortilla) | 16.25 (Naan),"Choix de Pain: Pain Kebab ($8.95), Tortilla (+$1.00), Naan (+$2.00); Format: Seul vs Trio (+$5.30); Choix accompagnement Trio: Frites ou Patates a l'ail; Sauces: Mayo, Ketchup, Moutarde, Harissa, Maison, Verte, Sauce a l'ail, Thai; Extras: Extra Oeuf (+0.99$), Extra Cheddar (+0.99$)"
Nos Wraps & Kebabs,Wraps & Kebabs,Wrap Vegetarien,Vegetarian Wrap,"Garni de legumes frais croquants, herbes et sauces savoureuses","Fresh crisp vegetables, herbs, and gourmet sauces",8.95,8.95 (Kebab) | 9.95 (Tortilla) | 10.95 (Naan),14.25 (Kebab) | 15.25 (Tortilla) | 16.25 (Naan),"Choix de Pain: Pain Kebab ($8.95), Tortilla (+$1.00), Naan (+$2.00); Format: Seul vs Trio (+$5.30); Choix accompagnement Trio: Frites ou Patates a l'ail; Sauces: Mayo, Ketchup, Moutarde, Harissa, Maison, Verte, Sauce a l'ail, Thai; Extras: Extra Oeuf (+0.99$), Extra Cheddar (+0.99$)"
Nos Wraps & Kebabs,Wraps & Kebabs,Wrap Poulet Croustillant,Crispy Chicken Wrap,Filets de poulet pane croustillant avec garniture fraiche,Golden crispy breaded chicken tenders with fresh toppings,8.95,8.95 (Kebab) | 9.95 (Tortilla) | 10.95 (Naan),14.25 (Kebab) | 15.25 (Tortilla) | 16.25 (Naan),"Choix de Pain: Pain Kebab ($8.95), Tortilla (+$1.00), Naan (+$2.00); Format: Seul vs Trio (+$5.30); Choix accompagnement Trio: Frites ou Patates a l'ail; Sauces: Mayo, Ketchup, Moutarde, Harissa, Maison, Verte, Sauce a l'ail, Thai; Extras: Extra Oeuf (+0.99$), Extra Cheddar (+0.99$)"
Nos Wraps & Kebabs,Wraps & Kebabs,Wrap au Steak Fromage,Steak & Cheese Wrap,Lamelles de steak de boeuf tendre garni de fromage fondant,Tender sliced beef steak topped with melted cheese,9.75,9.75 (Kebab) | 10.75 (Tortilla) | 11.75 (Naan),14.95 (Kebab) | 15.95 (Tortilla) | 16.95 (Naan),"Choix de Pain: Pain Kebab ($9.75), Tortilla (+$1.00), Naan (+$2.00); Format: Seul vs Trio (+$5.20); Choix accompagnement Trio: Frites ou Patates a l'ail; Sauces: Mayo, Ketchup, Moutarde, Harissa, Maison, Verte, Sauce a l'ail, Thai; Extras: Extra Oeuf (+0.99$), Extra Cheddar (+0.99$)"
Nos Wraps & Kebabs,Wraps & Kebabs,Wrap Mix (2 Viandes au choix),Mix Wrap (Choice of 2 Meats),Combinaison de 2 viandes au choix parmi nos specialites,Custom mix of any 2 signature meats,9.95,9.95 (Kebab) | 10.95 (Tortilla) | 11.95 (Naan),15.25 (Kebab) | 16.25 (Tortilla) | 17.25 (Naan),"Choix de 2 Viandes: Poulet Kebab, Dinde/Boeuf, Poulet Tikka, Poulet Masala, Poulet Croustillant, Steak; Choix de Pain: Pain Kebab ($9.95), Tortilla (+$1.00), Naan (+$2.00); Format: Seul vs Trio (+$5.30); Sauces au choix; Extras: Extra Oeuf (+0.99$), Extra Cheddar (+0.99$)"
Paninis,Paninis,Panini Poulet Tikka,Chicken Tikka Panini,Panini croustillant grille garni de poulet tikka et fromage,Toasted crispy panini loaded with chicken tikka and cheese,9.25,9.25,14.45,Format: Seul ($9.25) vs Trio ($14.45 avec Frites/Patates a l'ail + Boisson)
Paninis,Paninis,Panini Poulet Masala,Chicken Masala Panini,Panini grille garni de poulet masala epice,Toasted panini with spiced masala chicken,9.25,9.25,14.45,Format: Seul ($9.25) vs Trio ($14.45 avec Frites/Patates a l'ail + Boisson)
